Municipalities,demography_0,demography_1,demography_2,demography_3,employment,mobility_0,mobility_1,mobility_2,mobility_3,mobility_4,mobility_5,mobility_6,mobility_7,mobility_8,ChronicDisease_0,ChronicDisease_1,Avg. PI. per person by household position
De Fryske Marren,-1.3650962853541313,-1.0008088560226935,-0.22142657341511165,-0.2623585938998871,0.08227301766033067,-1.2549920804622272,0.8126964447053712,-0.1496051342405431,-0.5036915583309804,-0.9232415848149644,0.2823062887330889,-0.7965025941069663,1.2063408067374777,0.20857848262292986,0.2491565674703049,0.2138037393513876,-0.5827039322999068
De Ronde Venen,-0.4924288441984551,-0.8526739597887751,-0.6397259552865553,1.5035532125188098,-0.2512796431515281,-0.6086058464033369,-0.6493714892457763,0.2262725856129281,0.3265820363302083,-0.4746218913747546,-0.510784542342986,-0.1348468831651543,-0.5891943860414919,-0.5705494062410007,-0.37362381325393773,0.8736959111769087,1.267652137362602
De Wolden,-3.2887864292960716,-1.0359149959262242,-0.21051161730363824,-0.09260682235842456,-1.0503995450370422,-3.73265646794113,-1.009717499737183,-0.7584968049706706,-1.7174410284875017,0.41310703375614577,-0.4651233522840617,0.5282680044946323,0.3574380621335321,-0.7980752387295901,-0.7369481604286117,-0.3865965490708184,-0.3018463145832756
Delft,5.419610471792248,9.464661105153017,-5.2224271114502825,-6.250285526954631,1.852470336217308,6.32300820415239,1.748732375602024,-1.4992108853463202,-2.2174882448429534,1.1352335089712735,0.0063338533806921995,0.0233424441359761,-0.3893489894783423,-1.3012328777869673,1.517744484308542,0.5136514403079594,-1.061813986051806
Delfzijl,-3.716367051448057,1.2273621817881153,0.041270369592499016,-0.6991501607694653,-0.9975698013928695,-1.5187559449025083,-0.5528647780508654,0.3229044990555444,0.07477987289708186,0.006176192080446407,-0.3885250072270749,-1.6512303761474618,0.08101858630676095,-0.6885409050444815,-0.2855538689318339,-2.9555812717142094,-0.9461667316978988
Den Haag,10.757643549452863,7.841494386863986,2.1433815315483398,5.658769742605996,19.27453738361487,7.110193238710897,2.258818536615494,2.8073884126038635,-3.1722734981160805,-0.16351388187260735,-0.8532251576983209,0.2492394311358276,-1.686012685856913,-0.7639710207396246,15.685658828128659,-0.08280025838188919,-0.1861990602293684
Den Helder,-1.0683954348335234,2.537149183413038,0.5737972907888043,-0.023012629538277846,-0.1098583874603364,2.378804114734999,0.28163114434724834,0.3973319477629101,-0.35190382499269435,-0.4217610155728143,0.4522517708868112,0.016771513668737734,0.6474330187229616,0.7007348281765613,0.4985860239182046,-1.0738362828148234,-0.6818301503175402
Deurne,-0.8003676346250773,-0.19115346237772907,-1.5481281767760076,-0.4969458940806968,-0.6333540203449608,-0.7324563225889111,-0.5059032871334095,-1.0810128517652149,0.29710665875364506,-0.2184503876814611,-0.5661355404837098,-0.7173693068865026,0.9891146207619352,0.146579773874571,-0.5937237656734525,-0.0012287397148876425,-0.4340146052734543
Deventer,3.2179433962402464,1.5806168884725371,0.1886998773939849,0.5016103486243669,1.8970364203589367,2.6575829850864627,0.35345020616792056,-1.0949749795189392,-1.408046285831026,0.8823984199534757,0.7207635718792598,-0.3639988726032977,0.32777767654528805,0.18018659243034876,2.031646244972757,0.012342773039429236,-0.6322670413087235
Diemen,5.655015044566128,4.594406424992329,0.35595480793756384,-2.9317688890135547,-0.5696880430053345,4.4075760599693785,0.9221552347618976,2.0121652851800653,-1.2392135904946888,-0.05543175030493873,-1.2318410369603758,0.8673989993900574,0.4083467970194968,-0.8810966383173129,-0.8548626245527496,0.4450968106248122,-0.3844514962646376
